#{"t_start": 1745506600.6024098, "env_id": "highway-v0"}
r,l,t
13.338026,16,6.773625
15.237777,21,15.453986
11.233346,13,20.730929
10.303117,12,26.045645
18.03299,20,35.519838
14.676562,18,43.937954
11.956225,15,50.505334
1.070266,2,51.299077
8.949712,11,56.159724
3.773321,5,58.257305
6.443587,9,63.699618
29.702087,40,84.149442
27.954615,40,102.581821
3.52951,5,105.573747
22.723723,29,120.512291
2.884432,4,122.00991
4.262906,6,124.259803
25.843083,30,137.822377
1.949868,3,139.544248
