#{"t_start": 1745506600.6194184, "env_id": "None"}
r,l,t
13.338026,16,6.771247
14.239953,17,7.170475
15.730831,21,9.090177
3.8923736,5,9.478678
1.8849952,3,10.586859
7.905853,9,12.552362
9.215723,11,15.068235
4.1510763,6,15.068297
15.237778,21,15.451632
32.016247,40,16.572839
5.6869464,7,19.605237
11.233346,13,20.728269
10.150867,14,20.728305
10.66516,15,21.112806
8.331968,10,25.285874
10.303118,12,26.043131
7.160103,11,26.043168
2.5303655,4,26.800789
1.6194962,3,27.27128
4.659936,6,30.994354
5.878692,7,33.831803
18.03299,20,35.530521
32.097786,40,38.134671
18.278965,23,38.134717
6.629366,8,41.142513
7.126118,10,42.199545
14.676564,18,43.936699
2.5303285,4,44.315387
21.33953,26,45.478686
3.6596875,5,46.244153
9.031907,12,46.620533
11.956226,15,50.502683
8.636995,10,51.29699
1.070266,2,51.297027
3.4417088,5,53.206022
8.949713,11,56.182236
3.7733212,5,58.272105
9.509192,14,59.533877
30.003004,33,60.16543
2.016534,3,61.925624
6.443587,9,63.823883
28.230762,36,63.823956
6.5327563,9,67.933392
1.8844323,3,69.704813
2.6855931,4,71.28006
20.503708,23,73.078848
5.260978,7,77.242102
30.231556,39,81.695025
29.702087,40,84.1469
19.34437,25,84.558324
11.980398,16,85.304559
7.262851,9,89.067888
15.129548,22,91.357564
14.729854,20,94.795271
11.2613945,14,95.233761
1.8216594,3,95.988386
2.9282115,4,96.724005
1.6933454,3,97.119511
2.5327706,4,98.229225
2.6189268,4,98.6107
2.642023,4,100.820207
27.954613,40,102.589458
3.5295095,5,105.609003
9.217759,13,105.609073
22.553135,29,105.609108
8.281582,10,111.758332
7.017224,10,111.758386
2.4844227,4,113.946596
5.885917,7,115.112163
3.2027526,4,115.486717
20.643482,29,116.681587
7.016113,9,119.484183
5.5359187,8,120.521304
22.723726,29,120.521339
2.93451,4,121.267919
2.2251747,4,122.013352
2.8844326,4,122.013385
3.7550373,5,123.116606
4.262906,6,124.266349
2.9714184,4,124.834288
6.242109,8,125.400695
2.6207347,4,127.337175
6.328205,8,128.439278
2.8594913,4,128.821321
25.729769,35,130.04309
3.6719024,6,133.236075
9.7242775,11,133.61004
8.880643,12,134.391818
4.852519,6,136.009982
6.705134,8,136.396158
25.84308,30,137.829395
2.7279444,4,137.829455
2.8594754,4,138.420641
1.9498675,3,139.547194
9.482423,13,140.287993
8.390849,10,142.19866
17.189953,19,146.793461
